ID,Complaint,Department
1879,Burning of waste is causing smoke in Kodambakkam,Environment
1880,Frequent traffic congestion on Market Road during peak hours,Traffic
1881,Street light flickers continuously on Church Street,Street Lighting
1882,4 street lights have been off for weeks near Ring Road,Street Lighting
1883,Primary health center in the panchayat office area is understaffed,Health
1884,Waterlogging occurs on Station Road during rains,Road Maintenance
1885,No traffic police present at busy junction near Temple Street,Traffic
1886,Bus frequency has reduced drastically on the housing board colony route,Public Transport
1887,Air pollution levels are high near the factory in Royapettah,Environment
1888,Bus frequency has reduced drastically on Block C route,Public Transport
1889,Long waiting times reported at the main market road government hospital,Health
1890,Corruption reported in distribution of government scheme benefits in Pallavaram,Corruption
1891,Illegal sand mining reported near the main market road,Environment
1892,Noise pollution from construction near Bypass Road at night,Environment
1893,School building near North Street needs urgent repair,Education
1894,School lacks drinking water facility in Perambur,Education
1895,No traffic police present at busy junction near Nehru Street,Traffic
1896,Speed breakers are missing near the school on Church Street,Road Maintenance
1897,Transformer near Bazaar Street in near the temple is not working,Electricity
1898,Water pipe burst near South Street in the panchayat office area,Water Supply
1899,"Low water pressure reported near Ring Road, Royapettah",Water Supply
1900,"No signal at the school crossing near Market Road, Vadapalani",Traffic
1901,Corruption reported in distribution of government scheme benefits in Kodambakkam,Corruption
1902,Textbooks not distributed on time in the railway station road schools,Education
1903,No bus service available to T Nagar after 8 pm,Public Transport
1904,Public dustbin near Park Avenue is broken and overflowing,Waste Management
1905,Garbage collection truck has not come to T Nagar for 8 days,Waste Management
1906,Borewell in Nungambakkam has run dry,Water Supply
1907,No bus service available to Royapettah after 8 pm,Public Transport
1908,"No signal at the school crossing near Market Road, the main market road",Traffic
1909,Noise pollution from construction near Station Road at night,Environment
1910,Garbage collection truck has not come to Egmore for 9 days,Waste Management
1911,Overcrowded classrooms reported in Pallavaram government school,Education
1912,New electricity connection is delayed in Mylapore,Electricity
1913,Street light flickers continuously on Church Street,Street Lighting
1914,A clerk asked for extra money to process ration card in Mylapore,Corruption
1915,Traffic signal timing is too short at South Street,Traffic
1916,Teacher is absent regularly at the Velachery government school,Education
1917,Waterlogging occurs on MG Road during rains,Road Maintenance
1918,Bus stop shelter near Ring Road is damaged,Public Transport
1919,Illegal parking is causing traffic jams on Park Avenue,Traffic
1920,Public dustbin near Park Avenue is broken and overflowing,Waste Management
1921,Signboards are missing at the Temple Street intersection,Traffic
1922,Noise pollution from construction near Park Avenue at night,Environment
1923,Noise pollution from construction near Temple Street at night,Environment
1924,Bribe was demanded for issuing a building permit in Saidapet,Corruption
1925,"Low water pressure reported near Park Avenue, Guindy",Water Supply
1926,Money was demanded for processing a pension application in Royapettah,Corruption
1927,No science teacher appointed at the railway station road school for 13 months,Education
1928,Bus frequency has reduced drastically on Phase 2 route,Public Transport
1929,Last bus timing has been cancelled for Alwarpet,Public Transport
1930,Frequent traffic congestion on Church Street during peak hours,Traffic
1931,Leaking pipeline is wasting water on Bazaar Street,Water Supply
1932,Mid day meal quality is poor at Chromepet school,Education
1933,Dead animal left uncollected on Nehru Street in T Nagar,Waste Management
1934,No traffic police present at busy junction near Market Road,Traffic
1935,Exposed wires near School Lane pose a danger to residents,Electricity
1936,Contaminated water is being supplied in Royapettah,Water Supply
1937,No science teacher appointed at Chromepet school for 14 months,Education
1938,Transformer near North Street in Velachery is not working,Electricity
1939,Auto drivers are refusing to use the meter near Bazaar Street,Public Transport
1940,Street light flickers continuously on Main Road,Street Lighting
1941,A middleman asked for extra money to process ration card in Anna Nagar,Corruption
1942,Exposed wires near Main Road pose a danger to residents,Electricity
1943,Road divider near Temple Street is broken,Road Maintenance
1944,Garbage collection truck has not come to Guindy for 14 days,Waste Management
1945,Ambulance service is delayed in Porur,Health
1946,Traffic signal timing is too short at MG Road,Traffic
1947,Illegal parking is causing traffic jams on South Street,Traffic
1948,Billing error in electricity charges for Guindy residents,Electricity
1949,Air pollution levels are high near the factory in the old bus stand area,Environment
1950,Hospital in Nungambakkam lacks cleanliness and hygiene,Health
1951,Vaccination camp was cancelled without notice in Kolathur,Health
1952,Borewell in Porur has run dry,Water Supply
1953,Hospital in the main market road has no doctors available,Health
1954,Frequent traffic congestion on Bypass Road during peak hours,Traffic
1955,Hospital in Mylapore lacks cleanliness and hygiene,Health
1956,Contaminated water is being supplied in the panchayat office area,Water Supply
1957,Exposed wires near Gandhi Street pose a danger to residents,Electricity
1958,Hospital in Egmore has no doctors available,Health
1959,Primary health center in Anna Nagar is understaffed,Health
1960,Official at the Block C office is demanding money for a certificate,Corruption
1961,Unsafe construction site near Gandhi Street lacks barricades,Public Safety
1962,Segregated waste is being mixed by collection staff in Kolathur,Waste Management
1963,Water pipe burst near Main Road in Velachery,Water Supply
1964,Traffic signal timing is too short at Market Road,Traffic
1965,Burning of waste is causing smoke in Perambur,Environment
1966,Teacher is absent regularly at the Egmore government school,Education
1967,Textbooks not distributed on time in Tambaram schools,Education
1968,Ambulance service is delayed in Kolathur,Health
1969,Bus conductor misbehaved with passengers on Anna Nagar route,Public Transport
1970,Contaminated water is being supplied in the government school area,Water Supply
1971,Streetside electric meter is sparking in Velachery,Electricity
1972,Overcrowded classrooms reported in Vadapalani government school,Education
1973,Overhead tank in the industrial estate has not been cleaned in months,Water Supply
1974,Overcrowded classrooms reported in Ambattur government school,Education
1975,Overhead tank in Egmore has not been cleaned in months,Water Supply
1976,Bus service is irregular on the Ward 12 route,Public Transport
1977,Public dustbin near Gandhi Street is broken and overflowing,Waste Management
1978,Noise pollution from construction near Bypass Road at night,Environment
1979,Road divider near Main Road is broken,Road Maintenance
1980,Last bus timing has been cancelled for the main market road,Public Transport
1981,No specialist doctor visits the near the temple health center,Health
1982,Water body near Anna Nagar is being polluted by industrial waste,Environment
1983,Transformer near School Lane in the old bus stand area is not working,Electricity
