Complaint,Department,Label
Power supply tripped and not restored for 9 hours in Vadapalani,Electricity,2
Overcrowded buses are running on the Nungambakkam route,Public Transport,6
Waterlogging occurs on Bazaar Street during rains,Road Maintenance,7
Illegal dumping of waste is happening near Main Road,Waste Management,10
Traffic signal timing is too short at Market Road,Traffic,9
Bribe was demanded for issuing a building permit in Alwarpet,Corruption,0
Encroachment on the lake near Vadapalani is destroying wetlands,Environment,3
Street lights are not working on Nehru Street in the railway station road,Street Lighting,8
Open manhole causing danger on North Street in Block C,Public Safety,5
Teacher is absent regularly at the the panchayat office area government school,Education,1
Dumping ground near Chromepet is causing bad odor,Waste Management,10
"Street lights remain on during daytime in Ambattur, wasting power",Street Lighting,8
Bribe was demanded for issuing a building permit in Mylapore,Corruption,0
School lacks drinking water facility in Guindy,Education,1
Garbage collection truck has not come to Kolathur for 14 days,Waste Management,10
Speed breakers are missing near the school on South Street,Road Maintenance,7
Construction debris left on Station Road blocking traffic,Road Maintenance,7
Huge potholes on Temple Street in the industrial estate,Road Maintenance,7
Official at the Sector 5 office is demanding money for a certificate,Corruption,0
Borewell in Sector 5 has run dry,Water Supply,11
No specialist doctor visits the Kodambakkam health center,Health,4
No security personnel at the public park in Velachery,Public Safety,5
Speed breakers are missing near the school on Bazaar Street,Road Maintenance,7
School lacks drinking water facility in Mylapore,Education,1
School lacks drinking water facility in Phase 2,Education,1
No traffic police present at busy junction near Nehru Street,Traffic,9
Official at the Pallavaram office is demanding money for a certificate,Corruption,0
Hospital in T Nagar lacks cleanliness and hygiene,Health,4
Teacher is absent regularly at the the main market road government school,Education,1
Garbage collection truck has not come to Kolathur for 8 days,Waste Management,10
No water connection provided despite application in Saidapet,Water Supply,11
Bus frequency has reduced drastically on Sector 5 route,Public Transport,6
Bus conductor misbehaved with passengers on Sector 5 route,Public Transport,6
Bus service is irregular on the Kodambakkam route,Public Transport,6
Vaccination camp was cancelled without notice in the government school area,Health,4
Abandoned building near School Lane is unsafe for children,Public Safety,5
A government official is taking bribes for water connection approvals in the housing board colony,Corruption,0
Street light flickers continuously on South Street,Street Lighting,8
"Traffic signal is damaged at MG Road junction, Block C",Traffic,9
Government hospital near South Street lacks basic medicines,Health,4
Bus stop shelter near Bypass Road is damaged,Public Transport,6
Government hospital near Station Road lacks basic medicines,Health,4
Contaminated water is being supplied in Porur,Water Supply,11
Water tanker did not arrive in Perambur as scheduled,Water Supply,11
Public dustbin near Park Avenue is broken and overflowing,Waste Management,10
Illegal parking is causing traffic jams on Church Street,Traffic,9
A contractor is taking bribes for water connection approvals in Anna Nagar,Corruption,0
Deep pit left uncovered near Nehru Street in the panchayat office area,Public Safety,5
Frequent traffic congestion on North Street during peak hours,Traffic,9
Waterlogging occurs on Nehru Street during rains,Road Maintenance,7
Bus service is irregular on the the main market road route,Public Transport,6
Official at the Velachery office is demanding money for a certificate,Corruption,0
Last bus timing has been cancelled for Ward 12,Public Transport,6
Ambulance service is delayed in Phase 2,Health,4
Illegal dumping of waste is happening near MG Road,Waste Management,10
Solar street lights installed in the industrial estate are non functional,Street Lighting,8
Water pipe burst near Park Avenue in Kolathur,Water Supply,11
Mid day meal quality is poor at Mylapore school,Education,1
Segregated waste is being mixed by collection staff in Tambaram,Waste Management,10
6 street lights have been off for weeks near Bypass Road,Street Lighting,8
No waste collection service provided in Saidapet colony,Waste Management,10
"New street light pole is needed on Ring Road, the old bus stand area",Street Lighting,8
Signboards are missing at the Nehru Street intersection,Traffic,9
Overcrowded buses are running on the Nungambakkam route,Public Transport,6
Water supply has been irregular in Guindy for 12 weeks,Water Supply,11
Official at the Egmore office is demanding money for a certificate,Corruption,0
No traffic police present at busy junction near Ring Road,Traffic,9
Bribe was demanded for issuing a building permit in Guindy,Corruption,0
Street lights are not working on Temple Street in Egmore,Street Lighting,8
No specialist doctor visits the Velachery health center,Health,4
A local shopkeeper asked for extra money to process ration card in Kodambakkam,Corruption,0
Teacher is absent regularly at the Anna Nagar government school,Education,1
"New street light pole is needed on Temple Street, Guindy",Street Lighting,8
Primary health center in Royapettah is understaffed,Health,4
Frequent traffic congestion on Ring Road during peak hours,Traffic,9
Stray dogs are attacking residents in Kolathur,Public Safety,5
No specialist doctor visits the near the temple health center,Health,4
Huge potholes on North Street in Block C,Road Maintenance,7
Official at the Saidapet office is demanding money for a certificate,Corruption,0
"No footpath available on Station Road, pedestrians face danger",Road Maintenance,7
Hospital in Block C has no doctors available,Health,4
Primary health center in Chromepet is understaffed,Health,4
Encroachment on the lake near Adyar is destroying wetlands,Environment,3
Live wire lying on Park Avenue poses electrocution risk,Public Safety,5
Garbage collection truck has not come to Block C for 9 days,Waste Management,10
Dark stretch on Bazaar Street due to broken street lights,Street Lighting,8
Stray dogs are attacking residents in the government school area,Public Safety,5
Voltage fluctuation is damaging appliances in Vadapalani,Electricity,2
Stray dogs are attacking residents in Mylapore,Public Safety,5
Official at the Kodambakkam office is demanding money for a certificate,Corruption,0
Street light wiring is exposed and dangerous in the government school area,Street Lighting,8
"Street lights remain on during daytime in the old bus stand area, wasting power",Street Lighting,8
No specialist doctor visits the Chromepet health center,Health,4
Garbage collection truck has not come to the industrial estate for 3 days,Waste Management,10
Dumping ground near near the temple is causing bad odor,Waste Management,10
There is no drinking water in the housing board colony for the past 8 days,Water Supply,11
"Low water pressure reported near Church Street, Royapettah",Water Supply,11
Auto drivers are refusing to use the meter near Ring Road,Public Transport,6
No security personnel at the public park in Vadapalani,Public Safety,5
Someone demanded a bribe for approval of a document in Mylapore,Corruption,0
No science teacher appointed at Mylapore school for 9 months,Education,1
School in Anna Nagar lacks proper toilet facilities,Education,1
No bus service available to Nungambakkam after 8 pm,Public Transport,6
Open manhole causing danger on Park Avenue in Royapettah,Public Safety,5
"No footpath available on Temple Street, pedestrians face danger",Road Maintenance,7
Long waiting times reported at the old bus stand area government hospital,Health,4
